request_num,size,duration
449,1024,1.343305871
448,1024,1.314256839
434,512,1.327250668
420,512,1.371470605
423,512,1.353810211
429,512,1.309228519
438,1024,1.349846329
414,1024,1.388516321
432,1024,1.431300174
454,1024,1.360711919
425,512,1.332658525
431,512,1.327153880
441,512,1.386424274
439,1024,1.391962795
440,512,1.400630080
450,1024,1.401121449
472,512,1.400733051
444,512,1.406089299
433,1024,1.437232343
445,1024,1.426834411
419,1024,1.461503470
460,1024,1.404922543
456,512,1.396915913
447,512,1.409406112
443,512,1.433630096
446,512,1.438035306
461,512,1.431577194
436,512,1.422929197
455,512,1.409249475
451,512,1.440201240
466,1024,1.425720308
468,1024,1.429753560
462,512,1.430598631
471,1024,1.420120971
453,512,1.442741596
457,512,1.479640985
458,512,1.471888268
437,512,1.497181728
463,1024,1.428232777
473,1024,1.449926613
467,512,1.488681355
452,1024,1.450194380
475,1024,1.448491053
459,512,1.460370604
464,512,1.500320799
470,512,1.502279672
485,512,1.472503314
474,512,1.500352189
479,512,1.477574948
480,1024,1.469507171
465,1024,1.525303700
487,512,1.510284453
483,1024,1.493922134
477,1024,1.495452987
489,512,1.498579178
482,512,1.492916345
484,1024,1.533631727
486,1024,1.502108835
495,1024,1.517957174
478,1024,1.481629774
488,1024,1.507440820
496,1024,1.499626232
494,512,1.535991062
469,512,1.598746688
511,1024,1.501512211
507,1024,1.539833729
492,1024,1.567742745
502,512,1.510019370
481,512,1.548742511
503,1024,1.564768084
501,1024,1.557682516
509,1024,1.537747945
491,1024,1.539562198
493,1024,1.585399797
476,1024,1.595341411
499,512,1.551373433
498,512,1.564989624
500,1024,1.558646010
504,512,1.565704878
513,512,1.526267970
505,1024,1.577122465
490,1024,1.571833389
512,512,1.574223736
526,512,1.540285543
523,512,1.565209566
516,512,1.544068783
518,512,1.558870059
531,512,1.522200731
508,1024,1.576700936
519,512,1.551818786
506,1024,1.597577642
538,1024,1.529488816
525,1024,1.559762449
540,512,1.510054580
524,512,1.538842084
537,512,1.539977939
520,1024,1.587438602
530,1024,1.531539296
497,512,1.600399453
514,1024,1.614461404
536,512,1.561430138
546,1024,1.527874836
510,1024,1.598033839
528,512,1.556887612
522,1024,1.599662294
527,512,1.595394158
549,512,1.530681623
535,1024,1.568115828
552,1024,1.518689442
544,512,1.537640933
542,512,1.511602428
532,1024,1.545243486
517,1024,1.599701895
558,1024,1.509227647
541,1024,1.553527999
515,1024,1.548670918
539,1024,1.581866295
543,1024,1.530368634
559,1024,1.497547171
521,1024,1.626815793
557,512,1.514348724
553,1024,1.525740880
547,512,1.532326377
564,1024,1.518820394
534,512,1.575528286
533,512,1.590158588
529,1024,1.554578194
571,512,1.516552672
555,512,1.547655672
551,1024,1.568538686
569,1024,1.500977766
548,512,1.569302899
577,512,1.505263876
560,512,1.541032347
567,512,1.522215177
550,1024,1.580531870
556,1024,1.560937280
554,1024,1.550482158
562,512,1.540540633
573,512,1.503800844
561,1024,1.528391574
576,1024,1.509301729
545,1024,1.601709888
574,512,1.499960144
572,1024,1.536782292
563,1024,1.540579055
592,512,1.466430094
586,512,1.511974288
565,1024,1.536369098
584,1024,1.491076156
568,1024,1.543356283
608,512,1.452223934
588,1024,1.496978313
583,1024,1.506591263
598,512,1.479361011
585,1024,1.499356807
581,512,1.514161992
578,1024,1.528815350
570,512,1.529200306
580,512,1.510327453
590,1024,1.502385903
591,1024,1.485490597
566,1024,1.540941432
596,1024,1.465508171
611,1024,1.432703348
597,1024,1.481203958
579,512,1.492553523
587,512,1.511148086
610,512,1.461317391
600,512,1.479167742
589,512,1.512485532
594,512,1.420938112
603,1024,1.463010384
599,512,1.477952555
582,512,1.516086658
606,1024,1.463389773
605,1024,1.471327117
595,512,1.502530702
609,1024,1.461697916
619,1024,1.424066906
613,1024,1.425125096
626,1024,1.400268113
602,512,1.462763377
612,512,1.446725971
620,512,1.440289002
604,512,1.444816515
593,1024,1.468992321
614,512,1.432768482
623,512,1.412028424
601,512,1.517935279
615,1024,1.406988650
621,512,1.426411616
616,512,1.431000787
628,1024,1.409355763
618,1024,1.437620916
622,1024,1.440609321
625,512,1.418926908
617,1024,1.437326195
627,1024,1.411333915
575,512,1.547563986
607,512,1.422984432
630,512,1.379345424
645,1024,1.381266137
640,512,1.393502172
639,512,1.389605379
637,512,1.399849356
646,512,1.382592976
631,1024,1.393915856
648,1024,1.355873418
642,1024,1.382661060
649,1024,1.375412372
629,1024,1.391643083
653,512,1.377032029
638,512,1.395692294
651,512,1.371285933
632,512,1.419590437
660,512,1.365661705
659,1024,1.366084334
636,1024,1.412742623
654,1024,1.372188304
634,1024,1.413639347
641,1024,1.408282305
647,512,1.379495214
665,512,1.332472866
657,1024,1.354561008
661,512,1.344395380
652,1024,1.368575694
635,1024,1.426061784
624,1024,1.408722771
658,512,1.365485623
644,1024,1.395145807
633,512,1.420400011
667,512,1.324659629
650,1024,1.367194837
672,1024,1.296925709
670,1024,1.284157808
663,512,1.345798200
666,512,1.307284162
668,1024,1.297267771
656,512,1.347021035
664,512,1.326127021
643,512,1.397050957
669,512,1.292953889
685,1024,1.232061081
671,512,1.307037913
655,512,1.379639601
681,512,1.259673468
711,1024,1.251782552
706,1024,1.256262986
662,512,1.338486648
673,1024,1.304031396
708,1024,1.253902083
690,512,1.277051100
717,1024,1.207339734
680,1024,1.281863148
714,512,1.256727057
675,512,1.295875185
677,512,1.295688711
678,1024,1.292527753
702,1024,1.266480202
688,1024,1.289578953
704,1024,1.273969194
715,512,1.238800369
705,1024,1.258344307
684,1024,1.266705556
698,512,1.271476855
723,1024,1.250194222
699,512,1.273796583
